"date","mmwr_week","location","distributed","distributed_janssen","distributed_moderna","distributed_pfizer","distributed_unk_manuf","dist_per_100k","distributed_per_100k_12plus","distributed_per_100k_18plus","distributed_per_100k_65plus","administered","administered_12plus","administered_18plus","administered_65plus","administered_janssen","administered_moderna","administered_pfizer","administered_unk_manuf","admin_per_100k","admin_per_100k_12plus","admin_per_100k_18plus","admin_per_100k_65plus","recip_administered","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_1","administered_dose1_recip_2","administered_dose1_recip_3","administered_dose1_recip_4","administered_dose1_recip_5","administered_dose1_recip_6","series_complete_yes","series_complete_pop_pct","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","series_complete_janssen","series_complete_moderna","series_complete_pfizer","series_complete_unk_manuf","series_complete_janssen_12plus","series_complete_moderna_12plus","series_complete_pfizer_12plus","series_complete_unk_manuf_1","series_complete_janssen_18plus","series_complete_moderna_18plus","series_complete_pfizer_18plus","series_complete_unk_manuf_2","series_complete_janssen_65plus","series_complete_moderna_65plus","series_complete_pfizer_65plus","series_complete_unk_manuf_3","additional_doses","additional_doses_vax_pct","additional_doses_18plus","additional_doses_18plus_vax_pct","additional_doses_50plus","additional_doses_50plus_vax_pct","additional_doses_65plus","additional_doses_65plus_vax_pct","additional_doses_moderna","additional_doses_pfizer","additional_doses_janssen","additional_doses_unk_manuf"
"2021-11-04T00:00:00.000","44","NM","3341705","164500","1353340","1774065","49800","159369","186956","206152","884971","2865675","2865350","2664969","786239","98996","1161658","1599099","5922","136667","160305","164404","208217","2957495","1521006","72.5","1520697","85.1","1404884","86.7","382461","99.9","1306836","62.3","1306746","73.1","1208729","74.6","334548","88.6","98324","515220","691636","1656","98312","515201","691577","1656","98183","514836","594077","1633","19866","155626","158185","871","194076","14.9","193836","16","152841","23.5","103897","31.1","46644","146653","752","27"
"2021-11-04T00:00:00.000","44","BP2","273670","14500","117600","141570","0","0","0","0","0","242996","242994","242994","7227","12367","99058","131541","30","0","0","0","0","242996","128064","0","128062","0","128062","0","3587","0","121972","0","121971","0","121971","0","3526","0","12305","46561","63106","0","12304","46561","63106","0","12304","46561","63106","0","177","1691","1658","0","4825","4","4825","4","1642","5.9","281","8","2045","2724","36","20"
"2021-11-04T00:00:00.000","44","ND","1064410","47300","411020","592590","13500","139675","167033","182923","888156","818204","817164","775111","237964","33565","314963","469373","303","107367","128234","133206","198560","805265","420616","55.2","419954","65.9","397483","68.3","112239","93.7","363526","47.7","363151","57","344373","59.2","97002","80.9","32642","136433","194448","3","32639","136428","194081","3","32501","136234","175635","3","4136","46247","46619","0","51546","14.2","51506","15","41591","22.5","30698","31.6","13431","37840","273","2"
"2021-11-04T00:00:00.000","44","MN","8847640","422800","3333360","4975080","116400","156883","185171","204028","961301","7424031","7404412","6902901","2052084","310048","2689772","4421515","2696","131640","154966","159182","222960","7414617","3698123","65.6","3686945","77.2","3428550","79.1","902890","98.1","3463757","61.4","3455603","72.3","3214790","74.1","859534","93.4","305716","1233081","1924206","754","305702","1233072","1916075","754","305216","1230865","1677995","714","49093","360841","449384","216","542219","15.7","541717","16.9","441384","25.7","336122","39.1","130660","407320","3797","442"
"2021-11-04T00:00:00.000","44","VT","1194400","65200","504780","615420","9000","191414","216789","234203","955222","997823","997394","935275","313187","45959","386740","564273","851","159910","181032","183393","250471","984410","499981","80.1","499555","90.7","466485","91.5","133728","99.9","445881","71.5","445837","80.9","416344","81.6","122007","97.6","43724","166224","235676","257","43708","166214","235659","256","43650","166176","206279","239","2391","58735","60729","152","78301","17.6","78227","18.8","65900","27.7","50038","41","21098","56410","781","12"
"2021-11-04T00:00:00.000","44","DE","1751025","78900","698520","962205","11400","179820","208503","227349","926929","1323940","1323704","1240570","417075","52331","503534","766474","1601","135961","157620","161073","220784","1297762","676753","69.5","676562","80.6","634510","82.4","193442","99.9","585615","60.1","585561","69.7","549711","71.4","169871","89.9","51613","213017","320471","514","51604","213006","320437","514","51557","212894","284754","506","9375","69607","90613","276","72422","12.4","72358","13.2","64003","19.7","50676","29.8","22390","49698","327","7"
"2021-11-04T00:00:00.000","44","MI","15156510","780300","6230400","7985010","160800","151765","176341","193251","858531","11642444","11641905","10987523","3511389","385953","4491820","6762826","1845","116578","135450","140095","198900","11814884","5838470","58.5","5838012","67.9","5495980","70.1","1606853","91","5359104","53.7","5358971","62.3","5052918","64.4","1497808","84.8","381990","2028184","2947989","941","381970","2028165","2947897","939","381708","2027523","2642817","870","67498","746984","682783","543","790023","14.7","789279","15.6","656839","22.4","484939","32.4","232210","552559","5237","17"
"2021-11-04T00:00:00.000","44","FL","35811375","1977500","13982380","19834395","17100","166737","191545","207629","796280","28838525","28829301","27269941","9690421","1257163","10702855","16772848","105659","134272","154200","158107","215470","28564940","14894249","69.3","14886006","79.6","14043948","81.4","4452997","99","12872953","59.9","12871155","68.8","12177391","70.6","3889325","86.5","1232884","4530190","7078620","31259","1232079","4529469","7078352","31255","1231319","4528432","6386610","31030","202242","1875005","1793419","18659","1446954","11.2","1445298","11.9","1288175","18","1019011","26.2","536463","898286","9994","2211"
"2021-11-04T00:00:00.000","44","PA","21738935","1267300","8780860","11498175","192600","169809","196173","213811","908301","17867712","17862258","16829943","5450983","686701","6952953","10226862","1196","139570","161189","165529","227754","17876968","10099770","78.9","10095962","91.1","9517760","93.6","2967684","99.9","7785241","60.8","7783554","70.2","7340491","72.2","2180037","91.1","685197","2916771","4182718","555","685127","2916628","4181244","555","684705","2914242","3741030","514","90281","1022856","1066648","252","571018","7.3","570235","7.8","473110","11.2","346643","15.9","178827","388348","3825","18"
"2021-11-04T00:00:00.000","44","MP","90180","3000","21180","63300","2700","158539","185647","203548","935671","73973","73972","65086","6694","869","9889","63215","0","130046","152281","146908","69454","74057","36640","64.4","36639","75.4","32039","72.3","2974","30.9","34957","61.5","34957","72","30666","69.2","2908","30.2","869","4670","29418","0","869","4670","29418","0","869","4669","25128","0","93","470","2345","0","3290","9.4","3288","10.7","2234","17.8","913","31.4","270","3017","3","0"
