,fips,county,state,vaccinated
582,29075,Gentry County,MO,39.6
583,28023,Clarke County,MS,50.9
584,26085,Lake County,MI,53.8
585,16061,Lewis County,ID,43.5
586,13043,Candler County,GA,19.6
587,51045,Craig County,VA,31.8
588,12115,Sarasota County,FL,64.0
589,54065,Morgan County,WV,5.5
590,09005,Litchfield County,CT,69.3
591,13281,Towns County,GA,12.9
592,21195,Pike County,KY,47.9
593,29165,Platte County,MO,49.5
594,55007,Bayfield County,WI,74.7
595,29021,Buchanan County,MO,34.1
596,38019,Cavalier County,ND,54.9
597,27083,Lyon County,MN,49.6
598,54105,Wirt County,WV,6.3
599,48193,Hamilton County,TX,44.9
600,19161,Sac County,IA,48.4
601,55083,Oconto County,WI,48.1
602,48181,Grayson County,TX,40.1
603,51036,Charles City County,VA,46.6
604,20171,Scott County,KS,42.3
605,12045,Gulf County,FL,46.2
606,40153,Woodward County,OK,34.2
607,20173,Sedgwick County,KS,45.0
609,29059,Dallas County,MO,32.2
610,53063,Spokane County,WA,54.2
611,30099,Teton County,MT,36.2
612,02090,Fairbanks North Star Borough,AK,48.0
613,01083,Limestone County,AL,32.7
614,40029,Coal County,OK,35.7
615,18075,Jay County,IN,35.1
616,28103,Noxubee County,MS,49.8
617,29147,Nodaway County,MO,44.2
619,39095,Lucas County,OH,51.4
620,47079,Henry County,TN,42.3
621,72009,Aibonito Municipio,PR,80.7
622,05135,Sharp County,AR,34.7
623,28129,Smith County,MS,30.2
624,13181,Lincoln County,GA,19.6
626,48061,Cameron County,TX,65.1
627,21089,Greenup County,KY,44.9
628,38017,Cass County,ND,51.2
629,39043,Erie County,OH,53.8
630,72131,San Sebastian Municipio,PR,78.8
631,28005,Amite County,MS,35.3
632,13215,Muscogee County,GA,32.4
633,38101,Ward County,ND,40.7
634,18051,Gibson County,IN,43.1
635,13169,Jones County,GA,24.2
636,41009,Columbia County,OR,55.0
637,21027,Breckinridge County,KY,39.6
638,42085,Mercer County,PA,50.9
639,47037,Davidson County,TN,57.1
